WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Modality,AnyPositive,AllEqual
cubic__a,0.001735679,-0.047894345,-0.022659561,0,0.018823829,cubic,a,Haptic,yes,no
domesticated__a,0,0,0,0,0.070175186,domesticated,a,Haptic,yes,no
fullback__n,-0.008767299,0.021164131,0.01612285,0,0.039340567,fullback,n,Haptic,yes,no
ambulance__n,-0.012318904,0.039715158,0.012272346,0,0.001921736,ambulance,n,Auditory,yes,no
bleacher__n,0.022333065,-0.04525953,0.046489442,0,-0.03596146,bleacher,n,Gustatory,yes,no
accolade__n,0,0.021039946,0,0,0.041877907,accolade,n,Haptic,yes,no
side-by-side__r,0.046116056,0,0,0,0.008113705,side-by-side,r,Visual,yes,no
waiver__n,-0.03348736,0.004640464,-0.018820611,0,0.038396425,waiver,n,Haptic,yes,no
kickoff__a,0.074964391,0,0,0,0.023954859,kickoff,a,Visual,yes,no
circular__a,0.041762903,-0.044461563,0,0,0,circular,a,Visual,yes,no
democrats__n,-0.010442084,-0.004423204,-0.06003066,-0.059969731,0.0020567,democrats,n,Haptic,no,no
two-person__a,0.046551219,0,0,0,0.045162357,two-person,a,Visual,yes,no
senators__n,0,-0.009882586,0,0,0.035166492,senators,n,Haptic,yes,no
kickoff__n,0.02132617,-0.054514796,0.017424354,0,-0.005486297,kickoff,n,Visual,yes,no
glisten__v,0.119490006,0,0.017480189,0,-0.067590135,glisten,v,Visual,yes,no
projection__n,0.025215985,-0.023240473,-0.070147181,0,-0.021627785,projection,n,Visual,yes,no
missionary__n,-0.01689359,0.030987479,0,0,0.031572438,missionary,n,Haptic,yes,no
extension__n,-0.030199897,-0.003858939,-0.051144695,0,-0.012405764,extension,n,Olfactory,no,no
authorized__a,-0.068835561,0.05829456,0,0,0.033455674,authorized,a,Auditory,yes,no
crosswise__n,0.074872852,0,0.070989799,0,0.007894618,crosswise,n,Visual,yes,no
tenor__n,-0.0195167,-0.079145329,-0.045477614,0,0.018238477,tenor,n,Haptic,yes,no
appropriation__n,0.015780662,-0.030879164,0,0,0.000674939,appropriation,n,Visual,yes,no
yoga__n,0.042644386,-0.002768143,0.042806949,0,-0.055002013,yoga,n,Gustatory,yes,no
price-fixing__a,0,0.042557316,0,0,-0.012442341,price-fixing,a,Auditory,yes,no
inspector__n,0.015520049,0.032794762,-0.069538283,0,-0.015796709,inspector,n,Auditory,yes,no
house__n,-0.013574114,-0.013315114,-0.031621902,0.00553392,0.002827107,house,n,Olfactory,no,no
touchdown__n,-0.012961548,-0.028306631,0.042150953,-0.141913786,0.020024492,touchdown,n,Gustatory,yes,no
affect__v,-0.037378296,0.005279288,-0.003421937,-0.10811041,-0.040228684,affect,v,Auditory,no,no
peppery__a,0,0,0.09401908,0.235433558,0,peppery,a,Olfactory,yes,no
touchdown__a,0,0.009807334,0.053789002,0,0.055569763,touchdown,a,Haptic,yes,no
accelerator__n,0,0.013956032,-0.027842249,0,0.033384102,accelerator,n,Haptic,yes,no
lifelike__a,0.024003809,0.034080406,0,0,-0.005035245,lifelike,a,Auditory,yes,no
overzealous__a,0.012880472,0,0,0,0.031768506,overzealous,a,Haptic,yes,no
dysfunctional__a,0,0.00380137,0,0,0.047606789,dysfunctional,a,Haptic,yes,no
cd-rom__n,0.011262924,-0.077609133,0,0,-0.02954676,cd-rom,n,Visual,yes,no
troublesome__a,0.017948584,-0.017000308,0,0,-0.007822469,troublesome,a,Visual,yes,no
smashing__n,0.087043516,0,0,0,0,smashing,n,Visual,yes,no
anywhere__r,-0.009680711,0.013990194,-0.056304263,0,0.030657986,anywhere,r,Haptic,yes,no
child-care__a,-0.03348736,-0.088108529,0.01672681,0,-0.006827945,child-care,a,Gustatory,yes,no
entry-level__a,0,0.059944013,0,0,-0.045043914,entry-level,a,Auditory,yes,no
anywhere__n,0,0.043514065,0,0,0,anywhere,n,Auditory,yes,no
constrain__v,0,0.052529479,0,0,0,constrain,v,Auditory,yes,no
blur__n,-0.007659687,0.001780937,0,0,0.06222111,blur,n,Haptic,yes,no
formidable__a,0.034786108,-0.056832584,-0.034942901,0.005988762,-0.003743784,formidable,a,Visual,yes,no
playfully__r,-0.017115156,-0.00786445,0,0,-0.045043914,playfully,r,Gustatory,no,no
rapid-fire__a,-0.029224884,0.029609712,0.004472421,0,0,rapid-fire,a,Auditory,yes,no
boneless__v,0.009283481,0,0.148060505,0,0,boneless,v,Gustatory,yes,no
boneless__n,0,0,0.15444413,0,0,boneless,n,Gustatory,yes,no
synthesis__n,0.081456564,0,0,0,0,synthesis,n,Visual,yes,no
boneless__a,-0.049806673,0,0.177903666,0,-0.051195536,boneless,a,Gustatory,yes,no
wear__v,0.068513698,-0.028125157,0.017171765,-0.055350929,-0.011664646,wear,v,Visual,yes,no
skew__v,0.023116481,-0.035705861,0,0,0,skew,v,Visual,yes,no
rampant__a,-0.047984334,-0.020192947,0.002000407,0,-0.021747267,rampant,a,Gustatory,no,no
fraction__n,-0.019131847,-0.010985058,0.000931866,0.096747433,-0.020687439,fraction,n,Olfactory,yes,no
wear__n,0.036260926,0.024539064,-0.010163444,0,0.009018845,wear,n,Visual,yes,no
adulthood__n,0.033505208,-0.017886187,-0.030859154,0,-0.065983865,adulthood,n,Visual,yes,no
parched__a,0.039664066,0,0.009010565,0,0.0220106,parched,a,Visual,yes,no
lunatic__n,0,0.02631485,0.021733931,0,0.01496375,lunatic,n,Auditory,yes,no
electrode__n,0.028292087,-0.01794405,0.026037618,0,-0.035843761,electrode,n,Visual,yes,no
cautionary__a,-0.028340463,0.017924672,0,0,-0.044934456,cautionary,a,Auditory,yes,no
jt__a,0.012880472,0,0.018318043,0,0,jt,a,Gustatory,yes,no
objection__n,-0.024410987,-0.017006385,-0.093573146,0,-0.006911445,objection,n,Olfactory,no,no
crucial__a,-0.0107414,-0.032335275,-0.036032097,0,-0.022809041,crucial,a,Olfactory,no,no
installment__n,-0.025877677,-0.054814075,-0.076705606,0,-0.098490796,installment,n,Olfactory,no,no
cajole__v,0,0.042513264,-0.00166749,0,-0.009087092,cajole,v,Auditory,yes,no
popularly__r,0.029818147,0,0,0,0,popularly,r,Visual,yes,no
smuggling__n,-0.012550576,-0.003208189,0,0,0.005826665,smuggling,n,Haptic,no,no
high-level__a,-0.034817267,-0.030199237,-0.046582974,0,0.012737247,high-level,a,Haptic,yes,no
affable__a,0.051733025,0.010295779,0,0,-0.028777012,affable,a,Visual,yes,no
crusaders__n,0.006357126,0,0.01197084,0,0.025114135,crusaders,n,Haptic,yes,no
physically__r,-0.00807436,-0.020214666,-0.008278101,0,0.02172248,physically,r,Haptic,yes,no
vision__n,0.141657979,-0.035660001,-0.082088656,-0.069063843,-0.07408553,vision,n,Visual,yes,no
white-collar__a,0,0.016079282,0,0,-0.022205432,white-collar,a,Auditory,yes,no
wrangler__n,-0.099773442,-0.02875069,0.00666384,0,0.020620851,wrangler,n,Haptic,yes,no
deterrence__n,-0.003646382,0.013719446,0,0,0,deterrence,n,Auditory,yes,no
deplete__v,-0.032596571,-0.006944125,-0.044794145,0,0.002708224,deplete,v,Haptic,no,no
darn__r,0,0.0653101,0,0,0,darn,r,Auditory,yes,no
collie__n,-0.007937192,-0.005737552,0.080077632,0,0.003560519,collie,n,Gustatory,yes,no
vacuum__n,-0.070218151,0.007403973,-0.007754769,0,0.017304807,vacuum,n,Haptic,yes,no
darn__a,0.024424725,0.027185826,-0.026294574,0,-0.027415183,darn,a,Auditory,yes,no
intercity__n,0.029818147,0,0.015068851,0,0.058321874,intercity,n,Haptic,yes,no
chlorine__n,0,0,0.01197084,0,-0.022205432,chlorine,n,Gustatory,yes,no
scallion__n,0.029486662,0,0.173766652,0.071541383,0,scallion,n,Gustatory,yes,no
cherry__a,0.113648398,0,0.089503508,0,-0.072463139,cherry,a,Visual,yes,no
again__n,0,0.015337058,0.058131131,0,0.023954859,again,n,Gustatory,yes,no
cherry__n,0.023079433,0,0.126513982,0.208971446,0,cherry,n,Olfactory,yes,no
focus__v,-0.029156059,-0.00735955,-0.032872437,-0.07564804,-0.031089027,focus,v,Auditory,no,no
respondent__n,-0.012165921,0.034163956,-0.040078469,0,-0.03976085,respondent,n,Auditory,yes,no
protrusion__n,0.117283608,0,0,0,0,protrusion,n,Visual,yes,no
focus__n,-0.034084877,0.013088262,-0.03014759,0,-0.010895209,focus,n,Auditory,yes,no
yankees__a,0.023762076,0.016044419,-0.035178243,0,0.017121959,yankees,a,Visual,yes,no
yankees__n,-0.036749432,-0.040902024,0.03184959,-0.130127347,0.062058458,yankees,n,Haptic,yes,no
volley__n,0,-0.030823234,0.104082246,0,0.066795189,volley,n,Gustatory,yes,no
replicate__v,0.026749564,-0.041322973,-0.057027934,0,-0.032145134,replicate,v,Visual,yes,no
gender__n,-0.016670816,0.006091589,-0.068930272,0,-0.028685345,gender,n,Auditory,no,no
agatea__n,0,0.009542516,0,0,0,agatea,n,Auditory,no,no
interrogation__n,0,0,0.029141027,0,0,interrogation,n,Gustatory,yes,no
guideline__n,-0.013840763,0.003789975,-0.043377574,0,-0.042622221,guideline,n,Auditory,no,no
paratrooper__n,0.04236469,0,0,0,0,paratrooper,n,Visual,yes,no
wire__n,-0.026881616,-0.042853807,0.030405138,-0.067639272,-0.036935825,wire,n,Gustatory,yes,no
wire__v,-0.066148278,-0.022962628,0.021045263,0.026325721,0.027356279,wire,v,Haptic,yes,no
ravine__n,0.032570392,0,0,0,0.003300023,ravine,n,Visual,yes,no
recreation__n,0,-0.03763397,0.006347699,0,0,recreation,n,Gustatory,no,no
red-orange__a,0.117375472,0,0,0,0,red-orange,a,Visual,yes,no
conversant__v,0,0.106792679,0,0,0.064320609,conversant,v,Auditory,yes,no
chemotherapy__n,-0.059163667,-0.069960234,0.03363586,0,-0.011427212,chemotherapy,n,Gustatory,yes,no
effectiveness__n,0.002526453,-0.00897002,0.028070171,0,-0.024189952,effectiveness,n,Gustatory,yes,no
share__v,-0.022601024,-0.006946977,-0.039960834,-0.059978441,-0.0332874,share,v,Auditory,no,no
proliferate__v,-0.017115156,-0.00786445,0.016582149,0,0,proliferate,v,Gustatory,yes,no
share__n,-0.017160743,-0.045379619,0.018961327,-0.154471536,-0.030132356,share,n,Gustatory,yes,no
stork__n,0,0.009542516,0.052336589,0,0.018160317,stork,n,Gustatory,yes,no
instance__n,0.013863116,-0.040411683,-0.03531971,-0.049434907,-0.026830139,instance,n,Visual,yes,no
banter__n,0.017645135,-0.039336326,0,0,-0.030718524,banter,n,Visual,yes,no
visor__n,0.074872852,-0.000723183,0,0,0.007894618,visor,n,Visual,yes,no
stogy__n,0,0,0.081540385,0.222954863,0.046415675,stogy,n,Olfactory,yes,no
seriousness__n,0.011549703,-0.020156161,0,0,-0.01085809,seriousness,n,Visual,yes,no
giddy__a,0.011446914,-0.013516031,-0.0508245,0,0.009869875,giddy,a,Visual,yes,no
podium__n,0.02172897,0.015211045,-0.038184511,0,-0.036364232,podium,n,Visual,yes,no
endeavor__n,-0.077584903,-0.022230397,-0.043887598,0.067891416,-0.045645589,endeavor,n,Olfactory,yes,no
retail__v,0,0.015795544,0.082246317,0,0,retail,v,Gustatory,yes,no
retail__n,0.031836513,0,0,0,0,retail,n,Visual,yes,no
gaudy__a,0.028292087,-0.01794405,-0.00166749,0,-0.035843761,gaudy,a,Visual,yes,no
retail__a,-0.030088582,-0.033849549,-0.034055936,0,-0.049259956,retail,a,Olfactory,no,no
purchase__v,-0.01980158,-0.030433303,-0.016193759,-0.035065083,-0.053805073,purchase,v,Gustatory,no,no
crimson__a,0.091623191,0,0.015068851,0,-0.019107421,crimson,a,Visual,yes,no
smattering__n,-0.025421498,0.012319915,0.008275807,0,0.008407659,smattering,n,Auditory,yes,no
cartridge__n,0.01624234,0.040261522,0,0,0.01476322,cartridge,n,Auditory,yes,no
purchase__n,0.074960577,-0.034762978,-0.115800934,-0.1036589,-0.015076753,purchase,n,Visual,yes,no
ineffective__a,-0.024702589,-0.069085894,-0.005523054,0,0.00739899,ineffective,a,Haptic,no,no
extra__r,0.013521972,-0.025660528,0.019204529,0,0.077629703,extra,r,Haptic,yes,no
dislike__v,-0.008210894,-0.05192821,0.027911341,0,-0.030210224,dislike,v,Gustatory,yes,no
impractical__a,-0.011588402,0.027653099,0,0,0,impractical,a,Auditory,yes,no
extra__a,-0.004008882,-0.028344223,0.034966851,-0.044040046,-0.013245119,extra,a,Gustatory,yes,no
uncovered__a,0.000401777,-0.036617776,0.071563745,0,0.035166492,uncovered,a,Gustatory,yes,no
extra__n,-0.045598561,-0.055882924,0,0,-0.012500405,extra,n,Gustatory,no,no
sens__n,-0.048743734,-0.003687126,0.02907401,0.132712222,0.024596992,sens,n,Olfactory,yes,no
breath__n,-0.004591546,0.009052129,0.014754742,0.048350151,0.044943377,breath,n,Olfactory,yes,no
moolah__n,0,0.057248637,0,0,0,moolah,n,Auditory,yes,no
burger__n,-0.071369346,-0.08137601,0.115956725,0,0.000436022,burger,n,Gustatory,yes,no
mighty__a,-0.018642046,-0.039080639,0.048676676,0,0.009869875,mighty,a,Gustatory,yes,no
first-team__a,0,0.052810073,0,0,0.061844926,first-team,a,Haptic,yes,no
strikeout__n,-0.075764552,-0.043275662,0.021170186,0,0.048990241,strikeout,n,Haptic,yes,no
sputter__v,-0.026611111,-0.036617776,0.034099082,0,0,sputter,v,Gustatory,yes,no
apprehend__v,0,0,0,0,0.092780202,apprehend,v,Haptic,yes,no
motel__n,-0.039787777,-0.050584343,0.006738476,0,-0.021050847,motel,n,Gustatory,no,no
wireless__a,-0.065386477,-0.024747477,-0.048488294,-0.024429166,-0.03680994,wireless,a,Olfactory,no,no
daughter-in-law__n,0,0,0,0,0.019039171,daughter-in-law,n,Haptic,yes,no
wireless__n,-0.055350857,-0.020361393,-0.047496239,0.020412365,-0.049482619,wireless,n,Olfactory,yes,no
martial__a,-0.043478381,-0.053969309,-0.009104252,0,-0.006101572,martial,a,Olfactory,no,no
stuffy__a,-0.026611111,-0.009882586,0,0,0.019039171,stuffy,a,Haptic,yes,no
schooler__n,0,0.025831861,0,0,0.005826665,schooler,n,Auditory,yes,no
run-scoring__a,-0.009496001,-0.0799438,0.009446624,0,-0.026383581,run-scoring,a,Gustatory,no,no
stardom__n,-0.013680251,0.001352175,-0.002299273,0,0.011004524,stardom,n,Haptic,yes,no
defraud__v,-0.05510099,-0.031524939,0,0,-0.0223471,defraud,v,Gustatory,no,no
recipient__n,-0.010454227,-0.041938685,-0.039475432,0,-0.012107021,recipient,n,Olfactory,no,no
bullets__n,0,0.015337058,0.058131131,0,0.073508316,bullets,n,Haptic,yes,no
prominence__n,0.010227709,-0.021450828,-0.023892808,0,-0.001088768,prominence,n,Visual,yes,no
golf__n,-0.014280776,0.019997239,-0.024976741,-0.084582049,0.043248664,golf,n,Haptic,yes,no
bittersweet__a,0.00202153,-0.134852753,0.122056137,0.265829761,-0.047506614,bittersweet,a,Olfactory,yes,no
raising__n,-0.012715422,-0.032271572,0,0,-0.022777249,raising,n,Gustatory,no,no
tomorrow__n,-0.038554547,0.046062341,0.001954188,0,0.016497882,tomorrow,n,Auditory,yes,no
foreign__a,-0.036855499,-0.033776786,-0.064042866,-0.127098198,-0.056997796,foreign,a,Auditory,no,no
blend__n,0.011582242,-0.139727801,0.067437898,0.120916866,-0.03976085,blend,n,Olfactory,yes,no
modem__n,-0.01620487,-0.011793257,-0.049597897,0,0.055811393,modem,n,Haptic,yes,no
blend__v,-0.01200821,-0.126483165,0.082482414,0.028372554,-0.037941118,blend,v,Gustatory,yes,no
predators__n,0,-0.000723183,0.04207089,0,0.007894618,predators,n,Gustatory,yes,no
centimeter__n,0,0.038313099,0,0,0,centimeter,n,Auditory,yes,no
oldest__a,-0.043967492,-0.001520095,-0.023481412,-0.016917525,-0.021558983,oldest,a,Auditory,no,no
melodramatic__a,-0.002392216,0.023093435,0,0,0,melodramatic,a,Auditory,yes,no
dietary__n,0,-0.005317779,0.066267697,0,0.003300023,dietary,n,Gustatory,yes,no
dietary__a,-0.019288143,0.005585382,-0.012981954,0,-0.047158226,dietary,a,Auditory,no,no
flabby__a,0.098736468,0,0,0,0.030302062,flabby,a,Visual,yes,no
redundancy__n,0,0.016079282,0.040054431,0.149566839,0,redundancy,n,Olfactory,yes,no
resident__n,0.006779326,0.000848698,-0.031112122,-0.018470012,-0.030756856,resident,n,Visual,no,no
eel__n,0,0,0.141657451,0,0,eel,n,Gustatory,yes,no
deregulatory__a,0,0.028700767,0,0,0.037318569,deregulatory,a,Haptic,yes,no
depressed__a,-0.001480504,0.007491752,-0.041872556,0,0.052147476,depressed,a,Haptic,yes,no
frustration__n,-0.02746446,0.017389735,-0.017564035,0,0.018663034,frustration,n,Haptic,yes,no
overhear__v,-0.057590113,0.100339347,-0.004287304,0,-0.059017518,overhear,v,Auditory,yes,no
skillful__a,-0.023437494,-0.033721857,0,0,0.010463541,skillful,a,Haptic,yes,no
iconography__n,0.088974827,0,0,0,0,iconography,n,Visual,yes,no
phosgenite__n,0.052858425,-0.010374779,0,0,-0.001076709,phosgenite,n,Visual,yes,no
trench__n,0.02598137,-0.028827177,-0.057870603,0,0.008187376,trench,n,Visual,yes,no
replacement__n,-0.020183135,-0.041687373,0.002168352,0,0.011066769,replacement,n,Haptic,yes,no
targeted__a,0.017723861,-0.011776973,-0.005523054,0,-0.041353259,targeted,a,Visual,yes,no
understaff__v,0.04784308,0.037558717,0,0,0.018160317,understaff,v,Visual,yes,no
bedevil__v,-0.047818609,0,-0.0150312,0,-0.049207471,bedevil,v,Auditory,no,no
lower-paid__a,0,0,0,0,0.087518751,lower-paid,a,Haptic,yes,no
impartial__a,0.020091697,-0.017459524,0,0,0,impartial,a,Visual,yes,no
sweeping__a,0.026130856,-0.083659978,-0.06418405,0,-0.037702976,sweeping,a,Visual,yes,no
full-time__a,-0.025512451,0.012558709,-0.063058407,0,-0.007253426,full-time,a,Auditory,yes,no
wrecked__a,-0.014469367,0.022733652,0,0,-0.015858229,wrecked,a,Auditory,yes,no
full-time__r,0,0.017635128,0,0,0.071480398,full-time,r,Haptic,yes,no
sovereignty-eroding__a,0,0.058398498,0,0,0.067433352,sovereignty-eroding,a,Haptic,yes,no
anchor__v,-0.068613068,-0.121612824,0.014875111,0,-0.070069143,anchor,v,Gustatory,yes,no
flurry__n,0.035127361,-0.087563987,0.014756007,0,-0.03073712,flurry,n,Visual,yes,no
time__n,-0.012925931,0.004314265,-0.028983003,-0.097875919,0.013451296,time,n,Haptic,yes,no
directory__n,-0.041271252,0.010835427,-0.066986033,0,-0.019348481,directory,n,Auditory,yes,no
time__v,-0.049066806,0.036051602,-0.034093299,0,-0.022861275,time,v,Auditory,yes,no
anchor__n,0.002655546,-0.028120063,0.049690487,0.026325721,-0.029663448,anchor,n,Gustatory,yes,no
anniversary__n,-0.037879527,-0.031984177,-0.031642704,0,-0.062086212,anniversary,n,Olfactory,no,no
round__a,0.059269851,0,0.066879299,0,-0.048466932,round,a,Gustatory,yes,no
pretty__r,-0.005500012,0.042866394,-0.015016478,-0.011916971,0.014779442,pretty,r,Auditory,yes,no
embarrassed__a,-0.00919752,-0.025455826,0.00193617,0,0.05039064,embarrassed,a,Haptic,yes,no
tabasco__a,0,0,0.141657451,0,0,tabasco,a,Gustatory,yes,no
pretty__a,0.05288699,-0.046428418,-0.007005248,0.001910229,-0.019513023,pretty,a,Visual,yes,no
hockey__n,-0.028371968,0.006159001,0.042162085,-0.026397641,0.017090349,hockey,n,Gustatory,yes,no
tinge__n,0.134336784,0,0,0,0,tinge,n,Visual,yes,no
hockey__a,-0.040279306,-0.009651006,0.078686713,0,-0.029205284,hockey,a,Gustatory,yes,no
prisoner__n,-0.020389751,-0.010242103,-0.119105119,0,0.034345578,prisoner,n,Haptic,yes,no
gnash__v,0,0.009542516,0.052336589,0,0.018160317,gnash,v,Gustatory,yes,no
success__n,0.002491038,-0.01072903,-0.06567884,-0.083802974,-0.02493998,success,n,Visual,no,no
like__a,0.015354096,0.010591999,-0.008666563,-0.037712434,0.006584931,like,a,Visual,yes,no
like__v,0.004267647,0.040086861,-0.012889446,-0.035136722,-0.008059232,like,v,Auditory,yes,no
discern__v,0,-0.046883475,-0.004089401,0,0,discern,v,Visual,no,no
headache__n,-0.032288501,-0.005225092,-0.001627672,0,0.032273377,headache,n,Haptic,yes,no
cite__v,-0.006420327,0.012536919,-0.050082901,0,-0.047496535,cite,v,Auditory,yes,no
askance__a,0.074872852,0.047635999,0,0,0,askance,a,Visual,yes,no
high-cut__a,0,0,0.133815538,0,0,high-cut,a,Gustatory,yes,no
gifted__a,-0.034848953,-0.045766442,-0.022962812,0,0.025214075,gifted,a,Haptic,yes,no
chum__n,0.004054207,0,0.14763281,0,0,chum,n,Gustatory,yes,no
eavesdropper__n,0,0.034080406,0,0,0.043115259,eavesdropper,n,Haptic,yes,no
skiing__n,-0.036122315,-0.031524939,-0.001748187,0,-0.056528395,skiing,n,Olfactory,no,no
liquidate__v,-0.047818609,0,0.048978056,0,0.04749817,liquidate,v,Gustatory,yes,no
cardboard__a,-0.005076613,0.004415892,0.079850193,0,-0.033330436,cardboard,a,Gustatory,yes,no
sewage__n,-0.023447283,-0.010490978,0,0,0.039624792,sewage,n,Haptic,yes,no
cardboard__n,0.078932319,-0.025200483,-0.053725014,0,-0.015902413,cardboard,n,Visual,yes,no
biography__n,-0.054542939,0.018396879,-0.069279552,-0.022761284,-0.03551688,biography,n,Auditory,yes,no
outbreak__n,-0.010003939,-0.041513628,-0.125187561,0,0.002030533,outbreak,n,Haptic,no,no
racket__n,0,0.085524202,0,0,-0.022205432,racket,n,Auditory,yes,no
singularly__r,0.020091697,0,0.091967017,0,0,singularly,r,Gustatory,yes,no
late-game__a,0.040580646,0,0,0,0.039124571,late-game,a,Visual,yes,no
sixth__a,-0.048478729,-0.053090377,0.04925128,0,0.024955109,sixth,a,Gustatory,yes,no
assembly__n,-0.026313396,-0.027697303,-0.065764229,0,-0.01285603,assembly,n,Olfactory,no,no
sixth__r,-0.007659687,-0.044461563,0,0,-0.009087092,sixth,r,Gustatory,no,no
unfair__a,0.000475631,0.01260826,-0.035397748,0,-0.042642627,unfair,a,Auditory,yes,no
imperial__a,0.045030416,-0.00412283,0,0,-0.042511583,imperial,a,Visual,yes,no
great-grandchildren__n,0,-0.020433173,0,0,0.008276672,great-grandchildren,n,Haptic,no,no
banish__v,-0.002392216,-0.01267658,0.003457748,0,0,banish,v,Gustatory,no,no
pancreatic__n,0,-0.000723183,0,0,0.035865088,pancreatic,n,Haptic,yes,no
thanks__n,0.005172114,-0.035822226,-0.006434955,0,-0.021745526,thanks,n,Visual,no,no
fritter__n,-0.005076613,0,0.149853408,0,0,fritter,n,Gustatory,yes,no
scioscia__r,0,0,0.131572337,0,0.045162357,scioscia,r,Gustatory,yes,no
door__n,0.005214988,-0.009906079,-0.044907782,0,0.024761238,door,n,Haptic,yes,no
fish-scaring__a,0,0.060099852,0.106271986,0,0,fish-scaring,a,Gustatory,yes,no
quandary__n,-0.029224884,0.019620471,-0.022650382,0,0.004466479,quandary,n,Auditory,yes,no
archives__n,-0.029224884,0.008327105,0,0,-0.011182553,archives,n,Auditory,no,no
airbag__n,0,0.016079282,0.06094434,0,0,airbag,n,Gustatory,yes,no
likable__a,0.01345784,0.031196204,0,0,0.036030672,likable,a,Haptic,yes,no
glow-in-the-dark__a,0.04236469,0,0,0,0.012829855,glow-in-the-dark,a,Visual,yes,no
wife__n,-0.017807025,0.016792819,-0.042002161,-0.037766183,0.025283229,wife,n,Haptic,yes,no
relate__v,-0.021599374,0.023903897,-0.036614027,-0.042476694,-0.048767573,relate,v,Auditory,yes,no
guidebook__n,0.014906821,0.045255357,0,0,-0.006504018,guidebook,n,Auditory,yes,no
layoff__n,-0.007272147,-0.003392798,0.051236964,0,-0.000685528,layoff,n,Gustatory,yes,no
mouth__v,0,0,0,0,0.098646471,mouth,v,Haptic,yes,no
diversification__n,0.025712785,-0.020433173,0,0,0,diversification,n,Visual,yes,no
mouth__n,0.009422246,-0.009593324,0.056302009,0.07820828,0.0142058,mouth,n,Olfactory,yes,no
super__a,0.01244945,0.013885269,0.01497258,0,0.003696183,super,a,Gustatory,yes,no
